timestamp_sec,pupil_diameter_px
0.0,36.243773663803545
0.05,35.168012715007606
0.1,36.60036095664517
0.15,36.75245177311297
0.2,34.43917184907693
0.25,34.958256394510144
0.3,36.10227232253383
0.35,35.747005926125134
0.4,35.98655907399657
0.45,35.317564857941136
0.5,36.70351837989026
0.55,36.62223354834316
0.6,36.052824558048975
0.65,36.90179296557443
0.7,36.37400747380163
0.75,35.31256602969341
0.8,36.295000627266
0.85,35.2328939193368
0.9,36.702760241045816
0.95,35.960059271210994
1.0,35.85211010916379
1.05,35.455256364476845
1.1,36.978033070939226
1.15,35.87637641434496
1.2,35.65733774226951
1.25,35.718293159609416
1.3,36.42584734844268
1.35,36.292355251491266
1.4,36.33018608927679
1.45,36.344656802406305
1.5,37.71331808069637
1.55,35.67486798689231
1.6,35.59020581674277
1.65,35.3489818174017
1.7,36.492783538060394
1.75,36.90317783417672
1.8,35.9088420338761
1.85,35.327874818429976
1.9,35.34041502744701
1.95,36.52047423025976
2.0,36.594603336962756
2.05,33.43452341464417
2.1,29.467592234169036
2.15,27.185729058453383
2.2,24.09334864731257
2.25,21.17495087738321
2.3,18.697143022358553
2.35,18.322876439019748
2.4,18.831130850457516
2.45,18.486063255591116
2.5,18.80729551895199
2.55,19.225030580670833
2.6,17.69827534411547
2.65,18.752263026914157
2.7,18.775701876565766
2.75,18.784897721405326
2.8,19.21988619901865
2.85,20.779953048987515
2.9,19.035335107445402
2.95,20.646622683673186
3.0,18.669704182707356
3.05,19.89209197601138
3.1,20.434202452084005
3.15,20.91697786508742
3.2,21.160981263834284
3.25,21.37067778815994
3.3,20.601019942201248
3.35,20.654118565868348
3.4,21.854380705005724
3.45,21.15895654009471
3.5,20.435450941329663
3.55,20.693370228797214
3.6,21.008438171198712
3.65,22.28572859524301
3.7,22.14594058885645
3.75,22.728388283254215
3.8,21.978197882930772
3.85,22.59083175286137
3.9,23.108472315173866
3.95,22.50452276822381
4.0,23.26142019004593
4.05,22.510459247146677
4.1,22.89355692274794
4.15,23.02260968480134
4.2,22.51532828352877
4.25,24.005577984628466
4.3,23.38447812783782
4.35,23.91399529498215
4.4,24.43259732712473
4.45,24.549224940823954
4.5,24.86830808717823
4.55,24.401211612392462
4.6,24.285361350364674
4.65,24.70422543127488
4.7,23.56213245283358
4.75,23.89831002206153
4.8,24.14184031011648
4.85,24.402202537918814
4.9,25.51981938137875
4.95,24.47561675571195
5.0,24.897469956768486
5.05,26.23938263822885
5.1,24.914988823150857
5.15,25.79001245477367
5.2,24.4531058559921
5.25,25.035649953705896
5.3,24.439982356071535
5.35,24.92877353927955
5.4,25.872246509965915
5.45,23.818143661446122
5.5,25.547538914836686
5.55,25.39018848186582
5.6,24.724680035442564
5.65,24.043153716489236
5.7,25.257703606171095
5.75,24.776405832748956
5.8,25.386140969083762
5.85,25.217481716418753
5.9,26.48142311305673
5.95,25.00851549802158
